,RSI_apply_to,RSI_length,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
823,HLC/3,123.0,-1.0000000000000182,-1.0000000000000182,5.0,99.0,210.0,4H,-0.1259921049894888
824,HLCC/4,120.0,-1.0000000000000202,-1.0000000000000204,2.0,151.0,495.0,4H,-0.125992104989489
825,HLCC/4,120.0,-1.0000000000000202,-1.0000000000000204,6.0,27.0,344.0,4H,-0.125992104989489
826,open,29.0,-1.0000000000000229,-1.000000000000023,2.0,298.0,205.0,4H,-0.1259921049894892
827,open,188.0,-1.0000000000000229,-1.0000000000000295,5.0,216.0,435.0,4H,-0.1259921049894895
829,HLC/3,126.0,-1.000000000000028,-1.000000000000028,6.0,96.0,167.0,4H,-0.1259921049894896
828,low,3.0,-1.0000000000000313,-1.0000000000000238,6.0,122.0,268.0,4H,-0.1259921049894896
830,open,59.0,-1.0000000000000302,-1.0000000000000269,1.0,276.0,369.0,4H,-0.1259921049894897
831,low,41.0,-1.0000000000000298,-1.0000000000000295,5.0,258.0,423.0,4H,-0.1259921049894898
832,low,36.0,-1.000000000000036,-1.0000000000000344,2.0,497.0,212.0,4H,-0.1259921049894903
833,high,2.0,-1.000000000000037,-1.0000000000000382,4.0,47.0,339.0,4H,-0.1259921049894904
834,low,35.0,-1.0000000000000402,-1.0000000000000389,3.0,207.0,367.0,4H,-0.1259921049894906
835,open,32.0,-1.000000000000041,-1.000000000000041,1.0,188.0,466.0,4H,-0.1259921049894908
836,open,32.0,-1.000000000000041,-1.000000000000041,6.0,462.0,361.0,4H,-0.1259921049894908
837,open,32.0,-1.000000000000041,-1.000000000000041,6.0,338.0,311.0,4H,-0.1259921049894908
838,open,140.0,-1.0000000000000626,-1.0000000000000626,4.0,66.0,292.0,4H,-0.1259921049894926
839,open,189.0,-1.0000000000000626,-1.0000000000000795,5.0,87.0,406.0,4H,-0.1259921049894933
840,HLCC/4,126.0,-1.000000000000077,-1.000000000000077,2.0,269.0,306.0,4H,-0.1259921049894938
841,low,46.0,-1.0000000000000786,-1.0000000000000784,1.0,11.0,201.0,4H,-0.1259921049894939
842,low,22.0,-1.000000000000112,-1.0000000000000484,5.0,88.0,132.0,4H,-0.125992104989494
843,open,35.0,-1.0000000000000948,-1.0000000000000946,1.0,456.0,323.0,4H,-0.1259921049894952
844,low,47.0,-1.000000000000118,-1.000000000000118,5.0,347.0,184.0,4H,-0.1259921049894972
845,close,52.0,-0.6812528258809664,-0.7401839880184268,3.0,475.0,426.0,4H,-0.1263482791845201
846,close,52.0,-0.6812528258809664,-0.7401839880184268,6.0,161.0,149.0,4H,-0.1263482791845201
847,open,46.0,-0.340284000460973,-0.3712716089705803,2.0,279.0,47.0,4H,-0.1264399797283163
848,OHLC/4,179.0,-0.6879495271500992,-0.7367555088610074,5.0,11.0,130.0,4H,-0.1265649115277632
849,high,151.0,-0.4001000035527868,-0.4242723253321799,6.0,439.0,58.0,4H,-0.1267646520020156
850,high,171.0,-0.7109976719133384,-0.7163735237031443,5.0,309.0,236.0,4H,-0.1267717733457192
851,HLCC/4,168.0,-0.7290812964887604,-0.6989131189774477,3.0,112.0,172.0,4H,-0.1267904024451557
852,HL/2,25.0,-0.2721749610780039,-0.2887145431178149,3.0,472.0,38.0,4H,-0.1268907777728476
853,close,169.0,-0.7330204648980129,-0.7030304854749663,3.0,403.0,169.0,4H,-0.1272672762676379
854,HLC/3,179.0,-0.7135763480687093,-0.7233228379919178,2.0,210.0,339.0,4H,-0.1273339481668308
855,close,51.0,-0.6900446650844376,-0.7482511628706503,1.0,427.0,350.0,4H,-0.1273488022872994
856,low,126.0,-0.7221538312026429,-0.7219149559196038,1.0,11.0,244.0,4H,-0.1277591214645926
857,HLCC/4,164.0,-0.7409991454901829,-0.7113766537429249,2.0,460.0,302.0,4H,-0.1282308247545671
858,HLCC/4,41.0,-0.7259287370173236,-0.7366256505197336,6.0,370.0,416.0,4H,-0.128844812934961
859,HLCC/4,41.0,-0.7259287370173236,-0.7366256505197336,3.0,462.0,347.0,4H,-0.128844812934961
860,HLCC/4,160.0,-0.7472817503875858,-0.7179549858418035,2.0,45.0,370.0,4H,-0.1289873720001994
861,high,160.0,-0.7309397730066417,-0.7361557695660108,3.0,64.0,374.0,4H,-0.1291131376183634
862,HLCC/4,158.0,-0.7502689272783535,-0.7210847935534979,5.0,60.0,393.0,4H,-0.1293464249465307
863,HLCC/4,153.0,-0.7562021631414281,-0.7273052940520992,2.0,396.0,315.0,4H,-0.1300583435652488
864,high,70.0,-0.7383367220633723,-0.7450147642170006,1.0,210.0,430.0,4H,-0.1300648007429571
865,low,167.0,-0.3650125653926972,-0.3775896259321435,1.0,103.0,38.0,4H,-0.1301615216846408
866,close,47.0,-0.7180934156845485,-0.7738707492339357,2.0,51.0,370.0,4H,-0.1305077961209687
867,high,27.0,-0.3307797041511984,-0.3363936292075113,1.0,334.0,44.0,4H,-0.1305586159456201
868,HLC/3,74.0,-0.755646942517731,-0.73769155790555,2.0,314.0,164.0,4H,-0.1306425287358478
869,HLC/3,144.0,-0.7634144540258011,-0.7348740853093835,3.0,495.0,370.0,4H,-0.130921538674147
870,low,110.0,-0.7501293164946163,-0.7499009499224986,5.0,99.0,252.0,4H,-0.1310388313688519
871,OHLC/4,66.0,-0.7608561328143094,-0.7430623904413558,5.0,150.0,402.0,4H,-0.1312590547551224
872,HLC/3,141.0,-0.7670944837445107,-0.7387392018814329,3.0,86.0,308.0,4H,-0.1313610664621584
873,OHLC/4,132.0,-0.7529823651972407,-0.752755120734897,6.0,445.0,247.0,4H,-0.1313709997667481
874,HLCC/4,246.0,-0.4097755620077493,-0.3963101778283394,4.0,148.0,28.0,4H,-0.1314931427534723
